year,pick,team,record,odds,pre_lottery_position,pick_change,player
2007,4,Memphis Grizzlies,22-60,0.25,1,-3,Mike Conley
2007,5,Boston Celtics,24-58,0.19899999999999998,2,-3,Jeff Green
2007,6,Milwaukee Bucks,28-54,0.156,3,-3,Jianlian Yi
2007,7,Minnesota Timberwolves,32-50,0.053,6,-1,Corey Brewer
2007,8,Charlotte Bobcats,33-49,0.019,8,0,Brandan Wright
2007,9,New York Knicks,33-49,0.019,9,0,Joakim Noah
2007,10,Sacramento Kings,33-49,0.018000000000000002,10,0,Spencer Hawes
2007,11,Indiana Pacers,35-47,0.008,11,0,Acie Law
2007,12,Philadelphia Sixers,35-47,0.006999999999999999,12,0,Thaddeus Young
2007,13,New Orleans Hornets,39-43,0.006,13,0,Julian Wright
2007,14,Los Angeles Clippers,40-42,0.005,14,0,Al Thornton
2008,1,Chicago Bulls,33-49,0.017,9,8,Derrick Rose
2008,2,Miami Heat,15-67,0.25,1,-1,Michael Beasley
2008,3,Minnesota Timberwolves,22-60,0.138,3,0,O.J. Mayo
2008,4,Seattle SuperSonics,20-62,0.19899999999999998,2,-2,Russell Westbrook
2008,5,Memphis Grizzlies,22-60,0.13699999999999998,4,-1,Kevin Love
2008,6,New York Knicks,23-59,0.076,5,-1,Danilo Gallinari
2008,7,Los Angeles Clippers,23-59,0.075,6,-1,Eric Gordon
2008,8,Milwaukee Bucks,26-56,0.043,7,-1,Joe Alexander
2008,9,Charlotte Bobcats,32-50,0.027999999999999997,8,-1,D.J. Augustin
2008,10,New Jersey Nets,34-48,0.011000000000000001,10,0,Brook Lopez
2008,11,Indiana Pacers,36-46,0.008,11,0,Jerryd Bayless
2008,12,Sacramento Kings,38-44,0.006999999999999999,12,0,Jason Thompson
2008,13,Portland Trail Blazers,41-41,0.006,13,0,Brandon Rush
2008,14,Golden State Warriors,48-34,0.005,14,0,Anthony Randolph
2009,1,Los Angeles Clippers,19-63,0.177,3,2,Blake Griffin
2009,2,Memphis Grizzlies,24-58,0.075,6,4,Hasheem Thabeet
2009,3,Oklahoma City Thunder,23-59,0.11900000000000001,4,1,James Harden
2009,4,Sacramento Kings,17-65,0.25,1,-3,Tyreke Evans
2009,5,Washington Wizards,19-63,0.17800000000000002,2,-3,Ricky Rubio
2009,6,Minnesota Timberwolves,24-58,0.076,5,-1,Jonny Flynn
2009,7,Golden State Warriors,29-53,0.043,7,0,Stephen Curry
2009,8,New York Knicks,32-50,0.027999999999999997,8,0,Jordan Hill
2009,9,Toronto Raptors,33-49,0.017,9,0,DeMar DeRozan
2009,10,Milwaukee Bucks,34-48,0.01,10,0,Brandon Jennings
2009,11,New Jersey Nets,34-48,0.009000000000000001,11,0,Terrence Williams
2009,12,Charlotte Bobcats,35-47,0.006999999999999999,12,0,Gerald Henderson
2009,13,Indiana Pacers,36-46,0.006,13,0,Tyler Hansbrough
2009,14,Phoenix Suns,46-36,0.005,14,0,Earl Clark
2010,1,Washington Wizards,26-56,0.10300000000000001,5,4,John Wall
2010,2,Philadelphia Sixers,27-55,0.053,6,4,Evan Turner
2010,3,New Jersey Nets,12-70,0.25,1,-2,Derrick Favors
2010,4,Minnesota Timberwolves,15-67,0.19899999999999998,2,-2,Wesley Johnson
2010,5,Sacramento Kings,25-57,0.156,3,-2,DeMarcus Cousins
2010,6,Golden State Warriors,26-56,0.10400000000000001,4,-2,Ekpe Udoh
2010,7,Detroit Pistons,27-55,0.053,7,0,Greg Monroe
2010,8,Los Angeles Clippers,29-53,0.023,8,0,Al-Farouq Aminu
2010,9,New York Knicks,29-53,0.022000000000000002,9,0,Gordon Hayward
2010,10,Indiana Pacers,32-50,0.011000000000000001,10,0,Paul George
2010,11,New Orleans Hornets,37-45,0.008,11,0,Cole Aldrich
2010,12,Memphis Grizzlies,40-42,0.006999999999999999,12,0,Xavier Henry
2010,13,Toronto Raptors,40-42,0.006,13,0,Ed Davis
2010,14,Houston Rockets,42-40,0.005,14,0,Patrick Patterson
2011,1,Los Angeles Clippers,32-50,0.027999999999999997,8,7,Kyrie Irving
2011,2,Minnesota Timberwolves,17-65,0.25,1,-1,Derrick Williams
2011,3,New Jersey Nets,24-58,0.075,6,3,Enes Freedom
2011,4,Cleveland Cavaliers,19-63,0.19899999999999998,2,-2,Tristan Thompson
2011,5,Toronto Raptors,22-60,0.156,3,-2,Jonas Valanciunas
2011,6,Washington Wizards,23-59,0.11900000000000001,4,-2,Jan Vesely
2011,7,Sacramento Kings,24-58,0.076,5,-2,Bismack Biyombo
2011,8,Detroit Pistons,30-52,0.043,7,-1,Brandon Knight
2011,9,Charlotte Bobcats,34-48,0.017,9,0,Kemba Walker
2011,10,Milwaukee Bucks,35-47,0.011000000000000001,10,0,Jimmer Fredette
2011,11,Golden State Warriors,36-46,0.008,11,0,Klay Thompson
2011,12,Utah Jazz,39-43,0.006999999999999999,12,0,Alec Burks
2011,13,Phoenix Suns,40-42,0.006,13,0,Markieff Morris
2011,14,Houston Rockets,43-39,0.005,14,0,Marcus Morris
2012,1,New Orleans Hornets,21-45,0.13699999999999998,4,3,Anthony Davis
2012,2,Charlotte Bobcats,7-59,0.25,1,-1,Michael Kidd-Gilchrist
2012,3,Washington Wizards,20-46,0.19899999999999998,2,-1,Bradley Beal
2012,4,Cleveland Cavaliers,21-45,0.138,3,-1,Dion Waiters
2012,5,Sacramento Kings,22-44,0.076,5,0,Thomas Robinson
2012,6,New Jersey Nets,22-44,0.075,6,0,Damian Lillard
2012,7,Golden State Warriors,23-43,0.036000000000000004,7,0,Harrison Barnes
2012,8,Toronto Raptors,23-43,0.035,8,0,Terrence Ross
2012,9,Detroit Pistons,25-41,0.017,9,0,Andre Drummond
2012,10,Minnesota Timberwolves,26-40,0.011000000000000001,10,0,Austin Rivers
2012,11,Portland Trail Blazers,28-38,0.008,11,0,Meyers Leonard
2012,12,Milwaukee Bucks,31-35,0.006999999999999999,12,0,Jeremy Lamb
2012,13,Phoenix Suns,33-33,0.006,13,0,Kendall Marshall
2012,14,Houston Rockets,34-32,0.005,14,0,John Henson
2013,1,Cleveland Cavaliers,24-58,0.156,3,2,Anthony Bennett
2013,2,Orlando Magic,20-62,0.25,1,-1,Victor Oladipo
2013,3,Washington Wizards,29-53,0.035,8,5,Otto Porter
2013,4,Charlotte Bobcats,21-61,0.19899999999999998,2,-2,Cody Zeller
2013,5,Phoenix Suns,25-57,0.11900000000000001,4,-1,Alex Len
2013,6,New Orleans Pelicans,27-55,0.08800000000000001,5,-1,Nerlens Noel
2013,7,Sacramento Kings,28-54,0.063,6,-1,Ben McLemore
2013,8,Detroit Pistons,29-53,0.036000000000000004,7,-1,Kentavious Caldwell-Pope
2013,9,Minnesota Timberwolves,31-51,0.017,9,0,Trey Burke
2013,10,Portland Trail Blazers,33-49,0.011000000000000001,10,0,C.J. McCollum
2013,11,Philadelphia Sixers,34-48,0.008,11,0,Michael Carter-Williams
2013,12,Toronto Raptors,34-48,0.006999999999999999,12,0,Steven Adams
2013,13,Dallas Mavericks,41-41,0.006,13,0,Kelly Olynyk
2013,14,Utah Jazz,43-39,0.005,14,0,Shabazz Muhammad
2014,1,Cleveland Cavaliers,33-49,0.017,9,8,Andrew Wiggins
2014,2,Milwaukee Bucks,15-67,0.25,1,-1,Jabari Parker
2014,3,Philadelphia Sixers,19-63,0.19899999999999998,2,-1,Joel Embiid
2014,4,Orlando Magic,23-59,0.156,3,-1,Aaron Gordon
2014,5,Utah Jazz,25-57,0.10400000000000001,4,-1,Dante Exum
2014,6,Boston Celtics,25-57,0.10300000000000001,5,-1,Marcus Smart
2014,7,Los Angeles Lakers,27-55,0.063,6,-1,Julius Randle
2014,8,Sacramento Kings,28-54,0.043,7,-1,Nik Stauskas
2014,9,Detroit Pistons,29-53,0.027999999999999997,8,-1,Noah Vonleh
2014,10,New Orleans Pelicans,34-48,0.011000000000000001,10,0,Elfrid Payton
2014,11,Denver Nuggets,36-46,0.008,11,0,Doug McDermott
2014,12,New York Knicks,37-45,0.006999999999999999,12,0,Dario Saric
2014,13,Minnesota Timberwolves,40-42,0.006,13,0,Zach LaVine
2014,14,Phoenix Suns,48-34,0.005,14,0,T.J. Warren
2015,1,Minnesota Timberwolves,16-66,0.25,1,0,Karl-Anthony Towns
2015,2,Los Angeles Lakers,21-61,0.11900000000000001,4,2,D'Angelo Russell
2015,3,Philadelphia Sixers,18-64,0.156,3,0,Jahlil Okafor
2015,4,New York Knicks,17-65,0.19899999999999998,2,-2,Kristaps Porzingis
2015,5,Orlando Magic,25-57,0.08800000000000001,5,0,Mario Hezonja
2015,6,Sacramento Kings,29-53,0.063,6,0,Willie Cauley-Stein
2015,7,Denver Nuggets,30-52,0.043,7,0,Emmanuel Mudiay
2015,8,Detroit Pistons,32-50,0.027999999999999997,8,0,Stanley Johnson
2015,9,Charlotte Hornets,33-49,0.017,9,0,Frank Kaminsky
2015,10,Miami Heat,37-45,0.011000000000000001,10,0,Justise Winslow
2015,11,Indiana Pacers,38-44,0.008,11,0,Myles Turner
2015,12,Utah Jazz,38-44,0.006999999999999999,12,0,Trey Lyles
2015,13,Phoenix Suns,39-43,0.006,13,0,Devin Booker
2015,14,Oklahoma City Thunder,45-37,0.005,14,0,Cameron Payne
2016,1,Philadelphia Sixers,10-72,0.25,1,0,Ben Simmons
2016,2,Los Angeles Lakers,17-65,0.19899999999999998,2,0,Brandon Ingram
2016,3,Brooklyn Nets,21-61,0.156,3,0,Jaylen Brown
2016,4,Phoenix Suns,23-59,0.11900000000000001,4,0,Dragan Bender
2016,5,Minnesota Timberwolves,29-53,0.08800000000000001,5,0,Kris Dunn
2016,6,New Orleans Pelicans,30-52,0.063,6,0,Buddy Hield
2016,7,New York Knicks,32-50,0.043,7,0,Jamal Murray
2016,8,Sacramento Kings,33-49,0.019,8,0,Marquese Chriss
2016,9,Denver Nuggets,33-49,0.019,9,0,Jakob Poeltl
2016,10,Milwaukee Bucks,33-49,0.018000000000000002,10,0,Thon Maker
2016,11,Orlando Magic,35-47,0.008,11,0,Domantas Sabonis
2016,12,Utah Jazz,40-42,0.006999999999999999,12,0,Taurean Prince
2016,13,Washington Wizards,41-41,0.006,13,0,George Papagiannis
2016,14,Chicago Bulls,42-40,0.005,14,0,Denzel Valentine
2017,1,Brooklyn Nets,20-62,0.25,1,0,Markelle Fultz
2017,2,Los Angeles Lakers,26-56,0.156,3,1,Lonzo Ball
2017,3,Sacramento Kings,32-50,0.027999999999999997,8,5,Jayson Tatum
2017,4,Phoenix Suns,24-58,0.19899999999999998,2,-2,Josh Jackson
2017,5,Philadelphia Sixers,28-54,0.11900000000000001,4,-1,De'Aaron Fox
2017,6,Orlando Magic,29-53,0.08800000000000001,5,-1,Jonathan Isaac
2017,7,Minnesota Timberwolves,31-51,0.053,6,-1,Lauri Markkanen
2017,8,New York Knicks,31-51,0.053,7,-1,Frank Ntilikina
2017,9,Dallas Mavericks,33-49,0.017,9,0,Dennis Smith
2017,10,New Orleans Pelicans,34-48,0.011000000000000001,10,0,Zach Collins
2017,11,Charlotte Hornets,36-46,0.008,11,0,Malik Monk
2017,12,Detroit Pistons,37-45,0.006999999999999999,12,0,Luke Kennard
2017,13,Denver Nuggets,40-42,0.006,13,0,Donovan Mitchell
2017,14,Miami Heat,41-41,0.005,14,0,Bam Adebayo
2018,1,Phoenix Suns,21-61,0.25,1,0,Deandre Ayton
2018,2,Sacramento Kings,27-55,0.053,7,5,Marvin Bagley III
2018,3,Atlanta Hawks,24-58,0.13699999999999998,4,1,Luka Doncic
2018,4,Memphis Grizzlies,22-60,0.19899999999999998,2,-2,"Jaren Jackson, Jr."
2018,5,Dallas Mavericks,24-58,0.138,3,-2,Trae Young
2018,6,Orlando Magic,25-57,0.08800000000000001,5,-1,Mohamed Bamba
2018,7,Chicago Bulls,27-55,0.053,6,-1,"Wendell Carter, Jr."
2018,8,Brooklyn Nets,28-54,0.027999999999999997,8,0,Collin Sexton
2018,9,New York Knicks,29-53,0.017,9,0,Kevin Knox II
2018,10,Los Angeles Lakers,35-47,0.011000000000000001,10,0,Mikal Bridges
2018,11,Charlotte Hornets,36-46,0.008,11,0,Shai Gilgeous-Alexander
2018,12,Detroit Pistons,39-43,0.006999999999999999,12,0,Miles Bridges
2018,13,Los Angeles Clippers,42-40,0.006,13,0,Jerome Robinson
2018,14,Denver Nuggets,46-36,0.005,14,0,"Michael Porter, Jr."
2019,1,New Orleans Pelicans,33-49,0.06,7,6,Zion Williamson
2019,2,Memphis Grizzlies,33-49,0.06,8,6,Ja Morant
2019,3,New York Knicks,17-65,0.14,1,-2,R.J. Barrett
2019,4,Los Angeles Lakers,37-45,0.02,11,7,De'Andre Hunter
2019,5,Cleveland Cavaliers,19-63,0.14,2,-3,Darius Garland
2019,6,Phoenix Suns,19-63,0.14,3,-3,Jarrett Culver
2019,7,Chicago Bulls,22-60,0.125,4,-3,Coby White
2019,8,Atlanta Hawks,29-53,0.105,5,-3,Jaxson Hayes
2019,9,Washington Wizards,32-50,0.09,6,-3,Rui Hachimura
2019,10,Dallas Mavericks,33-49,0.06,9,-1,Cam Reddish
2019,11,Minnesota Timberwolves,36-46,0.03,10,-1,Cameron Johnson
2019,12,Charlotte Hornets,39-43,0.01,12,0,P.J. Washington
2019,13,Miami Heat,39-43,0.01,13,0,Tyler Herro
2019,14,Sacramento Kings,39-43,0.01,14,0,Romeo Langford
2020,1,Minnesota Timberwolves,19-45,0.14,3,2,Anthony Edwards
2020,2,Golden State Warriors,15-50,0.14,1,-1,James Wiseman
2020,3,Charlotte Hornets,23-42,0.06,8,5,LaMelo Ball
2020,4,Chicago Bulls,22-43,0.075,7,3,Patrick Williams
2020,5,Cleveland Cavaliers,19-46,0.14,2,-3,Isaac Okoro
2020,6,Atlanta Hawks,20-47,0.125,4,-2,Onyeka Okongwu
2020,7,Detroit Pistons,20-46,0.105,5,-2,Killian Hayes
2020,8,New York Knicks,21-45,0.09,6,-2,Obi Toppin
2020,9,Washington Wizards,25-47,0.045,9,0,Deni Avdija
2020,10,Phoenix Suns,34-39,0.03,10,0,Jalen Smith
2020,11,San Antonio Spurs,32-39,0.02,11,0,Devin Vassell
2020,12,Sacramento Kings,31-41,0.013000000000000001,12,0,Tyrese Haliburton
2020,13,New Orleans Pelicans,30-42,0.012,13,0,"Kira Lewis, Jr."
2020,14,Memphis Grizzlies,34-39,0.005,14,0,Aaron Nesmith
2021,1,Detroit Pistons,20-52,0.14,2,1,Cade Cunningham
2021,2,Houston Rockets,17-55,0.14,1,-1,Jalen Green
2021,3,Cleveland Cavaliers,22-50,0.115,5,2,Evan Mobley
2021,4,Toronto Raptors,27-45,0.075,7,3,Scottie Barnes
2021,5,Orlando Magic,21-51,0.14,3,-2,Jalen Suggs
2021,6,Oklahoma City Thunder,22-50,0.115,4,-2,Josh Giddey
2021,7,Golden State Warriors,23-49,0.09,6,-1,Jonathan Kuminga
2021,8,Chicago Bulls,31-41,0.045,8,0,Franz Wagner
2021,9,Sacramento Kings,31-41,0.045,9,0,Davion Mitchell
2021,10,New Orleans Pelicans,31-41,0.045,10,0,Ziaire Williams
2021,11,Charlotte Hornets,33-39,0.018000000000000002,11,0,James Bouknight
2021,12,San Antonio Spurs,33-39,0.017,12,0,Joshua Primo
2021,13,Indiana Pacers,34-38,0.01,13,0,Chris Duarte
2021,14,Golden State Warriors,39-33,0.005,14,0,Moses Moody
2022,1,Orlando Magic,22-60,0.14,2,1,Paolo Banchero
2022,2,Oklahoma City Thunder,24-58,0.125,4,2,Chet Holmgren
2022,3,Houston Rockets,20-62,0.14,1,-2,"Jabari Smith, Jr."
2022,4,Sacramento Kings,30-52,0.075,7,3,Keegan Murray
2022,5,Detroit Pistons,23-59,0.14,3,-2,Jaden Ivey
2022,6,Indiana Pacers,25-57,0.105,5,-1,Bennedict Mathurin
2022,7,Portland Trail Blazers,27-55,0.09,6,-1,Shaedon Sharpe
2022,8,Los Angeles Lakers,33-49,0.06,8,0,Dyson Daniels
2022,9,San Antonio Spurs,34-48,0.045,9,0,Jeremy Sochan
2022,10,Washington Wizards,35-47,0.03,10,0,Johnny Davis
2022,11,New York Knicks,37-45,0.02,11,0,Ousmane Dieng
2022,12,Los Angeles Clippers,42-40,0.015,12,0,Jalen Williams
2022,13,Charlotte Hornets,43-39,0.01,13,0,Jalen Duren
2022,14,Cleveland Cavaliers,44-38,0.005,14,0,Ochai Agbaji
2023,1,San Antonio Spurs,22-60,0.14,3,2,Victor Wembanyama
2023,2,Charlotte Hornets,27-55,0.125,4,2,Brandon Miller
2023,3,Portland Trail Blazers,33-49,0.105,5,2,Scoot Henderson
2023,4,Houston Rockets,22-60,0.14,2,-2,Amen Thompson
2023,5,Detroit Pistons,17-65,0.14,1,-4,Ausar Thompson
2023,6,Orlando Magic,34-48,0.09,6,0,Anthony Black
2023,7,Indiana Pacers,35-47,0.068,7,0,Bilal Coulibaly
2023,8,Washington Wizards,35-47,0.067,8,0,Jarace Walker
2023,9,Utah Jazz,37-45,0.045,9,0,Taylor Hendricks
2023,10,Dallas Mavericks,38-44,0.03,10,0,Cason Wallace
2023,11,Chicago Bulls,40-42,0.018000000000000002,11,0,Jett Howard
2023,12,Oklahoma City Thunder,40-42,0.017,12,0,Dereck Lively II
2023,13,Toronto Raptors,41-41,0.01,13,0,Gradey Dick
2023,14,New Orleans Pelicans,42-40,0.005,14,0,Jordan Hawkins
2024,1,Atlanta Hawks,36-46,0.03,10,9,Zaccharie Risacher
2024,2,Washington Wizards,15-67,0.14,2,0,Alex Sarr
2024,3,Brooklyn Nets,32-50,0.045,9,6,Reed Sheppard
2024,4,San Antonio Spurs,22-60,0.105,5,1,Stephon Castle
2024,5,Detroit Pistons,14-68,0.14,1,-4,Ron Holland
2024,6,Charlotte Hornets,21-61,0.133,3,-3,Tidjane Salaun
2024,7,Portland Trail Blazers,21-61,0.132,4,-3,Donovan Clingan
2024,8,Toronto Raptors,25-57,0.09,6,-2,Rob Dillingham
2024,9,Memphis Grizzlies,27-55,0.075,7,-2,Zach Edey
2024,10,Utah Jazz,31-51,0.06,8,-2,Cody Williams
2024,11,Chicago Bulls,39-43,0.02,11,0,Matas Buzelis
2024,12,Houston Rockets,41-41,0.015,12,0,Nikola Topic
2024,13,Sacramento Kings,46-36,0.008,13,0,Devin Carter
2024,14,Golden State Warriors,46-36,0.006999999999999999,14,0,Bub Carrington
2025,1,Dallas Mavericks,39-43,0.018000000000000002,11,10,-
2025,2,San Antonio Spurs,34-48,0.06,8,6,-
2025,3,Philadelphia Sixers,24-58,0.105,5,2,-
2025,4,Charlotte Hornets,19-63,0.14,3,-1,-
2025,5,Utah Jazz,17-65,0.14,1,-4,-
2025,6,Washington Wizards,18-64,0.14,2,-4,-
2025,7,New Orleans Pelicans,21-61,0.125,4,-3,-
2025,8,Brooklyn Nets,26-56,0.09,6,-2,-
2025,9,Toronto Raptors,30-52,0.075,7,-2,-
2025,10,Houston Rockets,36-46,0.038,9,-1,-
2025,11,Portland Trail Blazers,36-46,0.037000000000000005,10,-1,-
2025,12,Chicago Bulls,39-43,0.017,12,0,-
2025,13,Atlanta Hawks,40-42,0.008,13,0,-
2025,14,San Antonio Spurs,40-42,0.006999999999999999,14,0,-
